Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Regional Operation Manager (Insurance),"A Insurance Co., Ltd.","Project, Operations Management",Mandalay.,Benefits: Yearly Bonus Plan Promotion & Salary Increment,Highlights:Fun Working Environment Standard organization structure Saturday and Sunday off Ferry Provide,Career Opportunities: Training Provide Career Succession Plan Performance Management System,Today,https://www.jobnet.com.mm/job/regional-operation-manager-insurance-a-insurance-co-ltd/96963,1
Sr. Accountant (Mandalay),"A Insurance Co., Ltd.","Finance, Accounting, Audit",Mandalay.,Benefits: Yearly Bonus Plan Ferry Provide,Highlights:Fun Working Environment Standard organization structure Saturday and Sunday off,Career Opportunities: Training Provide Career Succession Plan Performance Management System,Today,https://www.jobnet.com.mm/job/sr-accountant-mandalay-a-insurance-co-ltd/96960,1
Training Manager(Insurance),"A Insurance Co., Ltd.","Education, Teaching, Childcare",Yangon.,Benefits: Competitive salaries Flexi Benefits Staggered working hours Medical Insurance Ferry Provide,Highlights:Fun Working Environment Saturday and Sunday Office Close Salaries and Promotion review 2 time per year,Career Opportunities: Training Provide Learning Organization Learning & Development Opportunities,Today,https://www.jobnet.com.mm/job/training-managerinsurance-a-insurance-co-ltd/96959,1
Project Manager,Mahaland,"Project, Operations Management",Yangon.,Benefits: Meal Allowance Transportation Allowance Life Insurance,Highlights:Join a winning team,Career Opportunities: Possibility for job training,05 Mar 2024,https://www.jobnet.com.mm/job/project-manager-mahaland/96943,1
Digital Marketing Manager/ Assistant Manager,"Yee Shin Co.,Ltd","Marketing, Media, Creative",Yangon.,"Benefits: -Sim-Card,  -Ferry",Highlights:- Fun Working Environment -Make a difference -Join and experience team,Career Opportunities: - Promotion,05 Mar 2024,https://www.jobnet.com.mm/job/digital-marketing-manager-assistant-manager-yee-shin-co-ltd/94014,1
Customer Service Team Leader,RnR - Rhythm & Rhymes,"Customer Service, Support",Yangon.,Benefits: Overtime payment,Highlights:Join an experience team,Career Opportunities: Training provide,05 Mar 2024,https://www.jobnet.com.mm/job/customer-service-team-leader-rnr-rhythm-and-rhymes/95781,1
Marketing Coordinator,"Urban Kitchen Co.,Ltd (Bonchon Myanmar)","Marketing, Media, Creative",Yangon.,Benefits: -,Highlights:-,Career Opportunities: -,05 Mar 2024,https://www.jobnet.com.mm/job/marketing-coordinator-urban-kitchen-co-ltd-bonchon-myanmar/92322,1
Operation Support Associate (KYC & Onboarding),Capital Diamond Star Group (CDSG),"Project, Operations Management",Yangon.,"Benefits: Benefits will be provided according to company policy.  Ferry provided.  Sat, Sun and public holidays off",Highlights:Fun Working Environment Join a winning team,Career Opportunities: Opportunities for promotion,04 Mar 2024,https://www.jobnet.com.mm/job/operation-support-associate-kyc-and-onboarding-capital-diamond-star-group-cdsg/96871,1
Graphic Designer,New Sky Travel,"Marketing, Media, Creative",Yangon.,Benefits: BONUS TRAVEL ALLOWANCE OVERTIME PAYMENTS,Highlights:FUN WORKING ENVIRONMENT INTERNAL STANDARD MAKE A DIFFERENCE,Career Opportunities: LEARN NEW SKILL ON THE JOB PROMOTION OPPRTUNITIES MANAGEMENT POTENTIAL,04 Mar 2024,https://www.jobnet.com.mm/job/graphic-designer-new-sky-travel/95807,1
Business Analyst (Quantech Team-2),Quantech Company Limited,"IT Hardware, Software",Yangon.,Benefits: Ferry Arrangement,Highlights:Team-2 Head Count,Career Opportunities: Working with Onshore Team,04 Mar 2024,https://www.jobnet.com.mm/job/business-analyst-quantech-team-2-quantech-company-limited/94778,1
Chinese Language Teacher,SLG Education (SIS Myanmar),"Education, Teaching, Childcare",Yangon.,Benefits: • Ferry Way • Sat and Sunday off,Highlights:• Fun Working environment • International Standards,Career Opportunities: • Learn news skills on the job • Promotion Opportunities • Training,04 Mar 2024,https://www.jobnet.com.mm/job/chinese-language-teacher-slg-education-sis-myanmar/95004,1
